name,price,specifications,number_of_reviews
Packard 255 G2,$416.99,"15.6"", AMD E2-3800 1.3GHz, 4GB, 500GB, Windows 8.1",number_of_reviews_split[0]
Aspire E1-510,$416.99,"15.6"", Pentium N3520 2.16GHz, 4GB, 500GB, Linux",number_of_reviews_split[0]
ThinkPad T540p,$416.99,"15.6"", Core i5-4200M, 4GB, 500GB, Win7 Pro 64bit",number_of_reviews_split[0]
ProBook,$416.99,"14"", Core i5 2.6GHz, 4GB, 500GB, Win7 Pro 64bit",number_of_reviews_split[0]
ThinkPad X240,$416.99,"12.5"", Core i5-4300U, 8GB, 240GB SSD, Win7 Pro 64bit",number_of_reviews_split[0]
Aspire E1-572G,$416.99,"15.6"", Core i5-4200U, 8GB, 1TB, Radeon R7 M265, Windows 8.1",number_of_reviews_split[0]
ThinkPad Yoga,$1033.99,"12.5"" Touch, Core i3-4010U, 4GB, 500GB + 16GB SSD Cache,",number_of_reviews_split[0]
Pavilion,$1033.99,"15.6"", Core i5-4200U, 6GB, 750GB, Windows 8.1",number_of_reviews_split[0]
Inspiron 15,$1033.99,"Moon Silver, 15.6"", Core i7-4510U, 8GB, 1TB, Radeon HD R7 M265 2GB,",number_of_reviews_split[0]
Dell XPS 13,$1033.99,"13.3"" Touch, Core i5-4210U, 8GB, 128GB SSD, Windows 8.1",number_of_reviews_split[0]
ThinkPad X230,$1033.99,"12.5"", Core i5 2.6GHz, 8GB, 180GB SSD, Win7 Pro 64bit",number_of_reviews_split[0]
HP 250 G3,$1033.99,"15.6"", Core i5-4210U, 4GB, 500GB, Windows 8.1",number_of_reviews_split[0]
ThinkPad Yoga,$1223.99,"12.5"" Touch, Core i5 4200U, 8GB, 500GB + 16GB SSD Cache, Windows",number_of_reviews_split[0]
HP 350 G1,$1223.99,"15.6"", Core i5-4200U, 4GB, 750GB, Radeon HD8670M 2GB, Windows",number_of_reviews_split[0]
Asus VivoBook Ma...,$1223.99,"Asus VivoBook Max X541NA-GQ041 Black Chocolate, 15.6"" HD, Pentium N4200 1.1GHz, 4GB, 500GB, Windows 10 Home",number_of_reviews_split[0]
Dell Vostro 15,$1223.99,"Dell Vostro 15 (3568) Black, 15.6"" FHD, Core i5-7200U, 4GB, 128GB SSD, Radeon R5 M420 2GB, Linux",number_of_reviews_split[0]
Acer Spin 5,$1223.99,"Acer Spin 5 SP513-51 Black, 13.3"" FHD Touch, Core i3-7100U, 4GB, 128GB SSD, Windows 10 Home",number_of_reviews_split[0]
Acer Aspire A515...,$1223.99,"Acer Aspire A515-51-5654, Black, 15.6"", FHD, Core i5-8250U, 8GB DDR4, 256GB SSD, Windows 10 Home, ENG",number_of_reviews_split[0]
Dell Inspiron 15,$679.00,"Dell Inspiron 15 (5567) Fog Gray, 15.6"" FHD, Core i5-7200U, 8GB, 1TB, Radeon R7 M445 4GB, Linux",number_of_reviews_split[0]
Asus VivoBook S1...,$679.00,"Asus VivoBook S14 (S406UA-BV041T) Starry Grey, 14"", Core i5-8250U, 8GB, 256GB SSD, Windows 10 Home, Eng kbd",number_of_reviews_split[0]
Asus ROG STRIX G...,$679.00,"Asus ROG STRIX GL553VD-DM256, 15.6"" FHD, Core i5-7300HQ, 8GB, 1TB, GeForce GTX 1050 2GB, No OS",number_of_reviews_split[0]
Acer Nitro 5 AN5...,$679.00,"Acer Nitro 5 AN515-51, 15.6"" FHD IPS, Core i5-7300HQ, 8GB, 1TB, GeForce GTX 1050 2GB, Windows 10 Home",number_of_reviews_split[0]
Asus ROG STRIX G...,$679.00,"Asus ROG STRIX GL553VD-DM256, 15.6"" FHD, Core i5-7300HQ, 8GB, 1TB, GeForce GTX 1050 2GB, No OS + Windows 10 Home",number_of_reviews_split[0]
Lenovo ThinkPad...,$679.00,"Lenovo ThinkPad L570, 15.6"" FHD, Core i7-7500U, 8GB, 256GB SSD, Windows 10 Pro",number_of_reviews_split[0]
Lenovo Legion Y5...,$1149.00,"Lenovo Legion Y520-15IKBM, 15.6"" FHD IPS, Core i7-7700HQ, 8GB, 128GB SSD + 1TB, GeForce GTX 1060 Max-Q 6GB, DOS",number_of_reviews_split[0]
Lenovo Legion Y7...,$1149.00,"Lenovo Legion Y720, 15.6"" FHD IPS, Core i7-7700HQ, 8GB, 128GB SSD + 2TB HDD, GeForce GTX 1060 6GB, DOS, RGB backlit keyboard",number_of_reviews_split[0]
Asus ROG Strix G...,$1149.00,"Asus ROG Strix GL702ZC-GC154T, 17.3"" FHD, Ryzen 7 1700, 16GB, 256GB + 1TB HDD, Radeon RX 580 4GB, Windows 10 Home",number_of_reviews_split[0]
Asus ROG Strix G...,$1149.00,"Asus ROG Strix GL702ZC-GC209T, 17.3"" FHD IPS, Ryzen 7 1700, 16GB, 256GB SSD + 1TB HDD, Radeon RX 580 4GB, Windows 10 Home",number_of_reviews_split[0]
Asus ROG Strix S...,$1149.00,"Asus ROG Strix SCAR Edition GL503VM-ED115T, 15.6"" FHD 120Hz, Core i7-7700HQ, 16GB, 256GB SSD + 1TB SSHD, GeForce GTX 1060 6GB, Windows 10 Home",number_of_reviews_split[0]
Asus VivoBook X4...,$1149.00,"Asus VivoBook X441NA-GA190 Chocolate Black, 14"", Celeron N3450, 4GB, 128GB SSD, Endless OS, ENG kbd",number_of_reviews_split[0]
Prestigio SmartB...,$299.00,"Prestigio SmartBook 133S Dark Grey, 13.3"" FHD IPS, Celeron N3350 1.1GHz, 4GB, 32GB, Windows 10 Pro + Office 365 1 gadam",number_of_reviews_split[0]
Prestigio SmartB...,$299.00,"Prestigio SmartBook 133S Gold, 13.3"" FHD IPS, Celeron N3350 1.1GHz, 4GB, 32GB, Windows 10 Pro + Office 365 1 gadam",number_of_reviews_split[0]
Lenovo V110-15IA...,$299.00,"Lenovo V110-15IAP, 15.6"" HD, Celeron N3350 1.1GHz, 4GB, 128GB SSD, Windows 10 Home",number_of_reviews_split[0]
Lenovo V110-15IA...,$299.00,"Asus VivoBook 15 X540NA-GQ008T Chocolate Black, 15.6"" HD, Pentium N4200, 4GB, 500GB, Windows 10 Home, En kbd",number_of_reviews_split[0]
Hewlett Packard...,$299.00,"Hewlett Packard 250 G6 Dark Ash Silver, 15.6"" HD, Celeron N3060 1.6GHz, 4GB, 128GB SSD, DOS",number_of_reviews_split[0]
Acer Aspire 3 A3...,$299.00,"Acer Aspire 3 A315-31 Black, 15.6"" HD, Celeron N3350 1.1GHz, 4GB, 128GB SSD, Windows 10 Home",number_of_reviews_split[0]
Acer Aspire A315...,$379.94,"Acer Aspire A315-31-C33J Black 15.6"", HD, Celeron N3350, 4GB DDR3L, 128GB, Windows 10 Home, ENG",number_of_reviews_split[0]
Acer Aspire ES1-...,$379.94,"Acer Aspire ES1-572 Black, 15.6"" HD, Core i3-6006U, 4GB, 128GB SSD, Linux",number_of_reviews_split[0]
Acer Aspire 3 A3...,$379.94,"Acer Aspire 3 A315-31 Black, 15.6"" HD, Pentium N4200 1.1GHz, 4GB, 128GB SSD, Windows 10 Home",number_of_reviews_split[0]
Acer Aspire 3 A3...,$379.94,"Acer Aspire 3 A315-21, 15.6"", AMD A4-9120. 4GB. 128GB SSD, Linux",number_of_reviews_split[0]
Asus VivoBook E5...,$379.94,"Asus VivoBook E502NA-GO022T Dark Blue, 15.6"" HD, Pentium N4200 1.1GHz, 4GB, 128GB SSD, Windows 10 Home, En/Ru kbd",number_of_reviews_split[0]
Lenovo ThinkPad...,$379.94,"Lenovo ThinkPad E31-80, 13.3"" HD, Celeron 3855U 1.6GHz, 4GB, 128GB SSD, Windows 10 Home",number_of_reviews_split[0]
Acer Aspire 3 A3...,$408.98,"Acer Aspire 3 A315-31 Black, 15.6"" HD, Pentium N4200 1.1GHz, 4GB, 128GB SSD, Windows 10 Home",number_of_reviews_split[0]
Lenovo V110-15IS...,$408.98,"Lenovo V110-15ISK, 15.6"" HD, Core i3-6006U, 8GB, 128GB SSD, Windows 10 Home",number_of_reviews_split[0]
Acer Aspire ES1-...,$408.98,"Acer Aspire ES1-732 Black, 17.3"" HD+, Celeron, N3350, 4GB, 1TB, Windows 10 Home",number_of_reviews_split[0]
Asus VivoBook 15...,$408.98,"Asus VivoBook 15 X540NA-GQ026T Chocolate Black, 15.6"" HD, Pentium N4200, 4GB, 128GB SSD, Windows 10 Home, En/Ru kbd",number_of_reviews_split[0]
Asus EeeBook R41...,$408.98,"Asus EeeBook R416NA-FA014T, 14"" FHD, Pentium N4200, 4GB, 128GB eMMC, Windows 10 Home, Eng kbd",number_of_reviews_split[0]
Acer Aspire 3 A3...,$408.98,"Acer Aspire 3 A315-51, 15.6"" HD, Core i3-6006U, 4GB, 1TB, Windows 10 Home",number_of_reviews_split[0]
Acer Aspire ES1-...,$436.29,"Acer Aspire ES1-572 Black, 15.6"" HD, Core i3-6006U, 4GB, 500GB, Windows 10 Home",number_of_reviews_split[0]
Acer Extensa 15...,$436.29,"Acer Extensa 15 (2540) Black, 15.6"" HD, Core i5-7200U, 4GB, 500GB, Linux",number_of_reviews_split[0]
Acer Aspire ES1-...,$436.29,"Acer Aspire ES1-572 Black, 15.6"" HD, Core i5-7200U, 4GB, 500GB, Linux",number_of_reviews_split[0]
Lenovo V110-15IS...,$436.29,"Lenovo V110-15ISK, 15.6"" HD, Core i3-6006U, 4GB, 128GB SSD, Windows 10 Pro",number_of_reviews_split[0]
Acer Aspire A315...,$436.29,"Acer Aspire A315-51-33TG, Black 15.6"" HD, Core i3-7100U, 4GB DDR4, 128GB SSD, Windows 10 Home, ENG",number_of_reviews_split[0]
Lenovo V110-15IK...,$436.29,"Lenovo V110-15IKB, 15.6"" HD, Core i5-7200U, 4GB, 500GB, DOS",number_of_reviews_split[0]
Asus VivoBook 15...,$468.56,"Asus VivoBook 15 X540UA-DM260 Chocolate Black, 15.6"" FHD, Core i3-6006U, 4GB, 256GB SSD, Endless OS, En kbd",number_of_reviews_split[0]
Acer Aspire ES1-...,$468.56,"Acer Aspire ES1-572 Black, 15.6"" HD, Core i3-6006U, 4GB, 128GB SSD, Windows 10 Home",number_of_reviews_split[0]
Lenovo V510 Blac...,$468.56,"Lenovo V510 Black, 14"" HD, Core i3-6006U, 4GB, 128GB SSD, Windows 10 Home",number_of_reviews_split[0]
